title,price,SKU
Speaker's House Collection Fine Bone China Sugar Bowl,?35.00,32263
Speaker's House Collection Fine Bone China Milk Jug,?45.00,32262
Speaker's House Collection Fine Bone China Tea Plate,?40.00,32259
Handcrafted Portcullis Oak Bottle Stopper,?15.00,32312
Speaker's House Collection Fine Bone China Trinket Box,?40.00,32265
Handcrafted Portcullis Oak Bottle Opener,?18.00,32311
Speaker's House Collection Fine Bone China Teapot,?85.00,32264
Speaker's House Collection Fine Bone China Tankard Mug,?40.00,32266
Speaker's House Collection Fine Bone China Cup and Saucer,?50.00,32261
English Pear and Clementine Luxury Reed Diffuser,?30.00,32423
"Hats Off, Strangers Door Mat",?20.00,32356
House of Lords Fine Bone China Plate,?39.00,120624
House of Lords Fine Bone China Trinket Box,?29.50,120629
House of Lords Fine Bone China Mug,?21.00,120626
House of Lords Egg Cup,?18.00,120631
House of Lords Palace Tea Set,?140.00,130670
House of Lords Fine Bone China Beaker,?26.00,120628
Speaker's House Collection Fine Bone China Egg Cup,?25.00,32260
Big Ben Fine Bone China Mug,?25.00,30020
House of Commons Green Portcullis Mug,?10.00,32506
English Pear and Clementine Soap Bar,?9.00,32427
English Pear and Clementine Luxury Hand Lotion,?18.00,32426
English Pear and Clementine Luxury Soy Wax Candle,?28.00,32424
English Pear and Clementine Luxury Hand Wash,?16.00,32425
High Grade Palace of Westminster Encaustic Tile,?200.00,30357
House of Commons Crystal Chamber Champagne Flutes,?120.00,32135
House of Commons Crystal Chamber Brandy Glasses,?120.00,32133
Gin Goblet,?18.00,31658
Crystal Portcullis Champagne Flutes,?50.00,32104
Crystal Portcullis Red Wine Glasses,?50.00,32103
House of Commons Kintyre Crystal Tumbler,?37.00,20818
Royal Scot Kintyre Crystal Tot Glass,?17.00,20817
Crystal Portcullis White Wine Glasses,?50.00,32102
House of Lords Tudor Rose Apron,?16.00,21310
House of Lords Tudor Rose Tea Towel,?8.00,21307
House of Lords Fine Bone China Coaster,?21.00,120625
Honourable Lady Bone China Mug,?15.00,32176
Pewter Beer Tankard,?60.00,20803
Stained Glass Portcullis Paperweight,?15.00,20657
House of Lords Victoria Tower Fridge Magnet,?2.95,130717
House of Lords Chamber Fridge Magnet,?2.95,130716
Mini Guardsman Magnet,?10.00,22080
House of Commons Portcullis Magnet,?6.00,32105
House of Lords Fridge Magnet,?5.00,21302
Set of Four Leather Napkin Rings,?5.00,32399
Palace of Westminster Resin Fridge Magnet,?6.00,30223
House of Lords Novelty Fridge Magnet Set,?7.50,130632
Mid Grade Palace of Westminster Encaustic Tile,?150.00,21968
Votes for Women Milk Jug,?25.00,31652
Votes for Women Teapot,?45.00,31651
Votes for Women Fine Bone China Mug,?17.00,31653
House of Commons Shot Glass,?4.00,30433
Votes for Women Cup and Saucer Set,?30.00,31650
Honourable Gentleman Coaster,?4.00,30535
Leader of the House Coaster,?4.00,30533
Honourable Lady Coaster,?4.00,30534
Ayes and Noes Magnet Set,?8.00,32179
Leader of the House Bone China Mug,?15.00,32178
Leader of the House Bottle Opener,?10.00,30478
Honourable Gentleman Bone China Mug,?15.00,32177
House of Lords Pewter Tumbler,?29.00,130674
House of Lords Waffle Hot Water Bottle,?21.00,130677
House of Lords Waffle Dressing Gown,?65.00,130678
House of Lords Photo Frame,?36.00,130661
House of Lords Victoria Tower Travel Mug,?9.00,130645
House of Lords Victoria Tower Tea Towel,?8.00,130654
House of Lords Victoria Tower Sketch Apron,?16.00,130640
House of Lords Victoria Tower Mug,?13.00,130643
House of Lords Victoria Tower Sketch Tea Towel,?8.00,130641
Portcullis Glencairn Whisky Glass,?10.00,20830
House of Lords Leather Washbag,?49.00,130612
Personalised Silver-Plated Hammered Wine Coaster,?90.00,32061
House of Lords Embroidered White Towel,?13.95,130610
Glencairn Wee Nip Gift Set,?25.00,32328
Portcullis Pewter Bottle Stopper,?25.00,32428
Personalised Sheffield Stainless Steel Fridge Magnet,?14.00,32092
Time to Relax Fine Bone China Cup and Saucer,?15.00,21614
Clock Face Mug,?15.00,21612
Lion Tile Coasters,?12.00,31908
Clock Face Apron,?20.00,21631
Lion Tile Tea Towel,?10.00,31905
Lion Tile Apron,?20.00,31904
Lion Tile Oven Glove,?20.00,31903
House of Lords Crystal Wine Glasses,?85.00,130672
Anthony Eden Prime Minister Toby Jug,?32.00,20639
Clement Atlee Prime Minister Toby Jug,?32.00,20640
Alec Douglas-Home Prime Minister Toby Jug,?32.00,20638
Neville Chamberlain Prime Minister Toby Jug,?32.00,20641
Theresa May Prime Minister Toby Jug,?32.00,30365
London Tea Towel,?8.00,30538
London Reusable Travel Mug,?15.00,30456
Big Ben Magnet Set,?5.00,32411
Big Ben Facts Tea Towel,?8.00,32406
Big Ben Bone China Facts Mug,?15.00,32408
Reusable Leather Crown,?4.00,32400
Royal Scot Crystal Tankard Highland,?50.00,32258
Embroidered Big Ben Clock Face Tree Decoration,?25.00,32289
Embroidered Portcullis Decoration,?20.00,32115
Ramsay MacDonald Prime Minister Toby Jug,?32.00,32036
Stanley Baldwin Prime Minister Toby Jug,?32.00,32035
Andrew Bonar Law Prime Minister Toby Jug,?32.00,32034
Tony Blair Prime Minister Toby Jug,?32.00,20608
John Major Prime Minister Toby Jug,?32.00,20611
Edward Heath Prime Minister Toby Jug,?32.00,20612
David Cameron Prime Minister Toby Jug,?32.00,20615
Harold Wilson Prime Minister Toby Jug,?32.00,20613
James Callaghan Prime Minister Toby Jug,?32.00,20626
Gordon Brown Prime Minister Toby Jug,?32.00,20629
Suffragist Decoration,?15.00,30583
Guy Fawkes Tree Ornament,?15.00,22140
Tudor Rose Tree Ornament,?15.00,21387
Number 10 Door Tree Ornament,?20.00,30080
Big Ben Bell Tree Ornament,?20.00,30368
Palace of Westminster Tree Ornament,?15.00,21778
Elizabeth Tower Pewter Decoration,?18.00,32363
Mr Speaker Bear Tree Decoration,?18.00,31999
Big Ben Bell Birch Wood Decoration,?10.00,32355
Crowned Portcullis Pewter Decoration,?18.00,32362
Elizabeth Tower Delft Ceramic Decoration,?15.00,32320
Houses of Parliament Delft Ceramic Decoration,?15.00,32321
House of Commons Benches Teapot,?80.00,32455
House of Commons Benches 6" Rimmed Tea Plate,?30.00,32454
House of Commons Benches Large Balmoral Mug,?25.00,32453
House of Commons Benches Gravy Boat and Stand,?80.00,32451
House of Commons Benches 12" Serving Platter,?80.00,32450
House of Commons Benches Fine Bone China Cup and Saucer,?50.00,32452
House of Commons Benches Egg Cup,?20.00,32449
House of Commons Benches Rimmed Dessert/Breakfast Bowl,?40.00,32448
House of Commons Benches 9" Rimmed Soup Bowl,?40.00,32447
House of Commons Benches 8" Rimmed Plate,?35.00,32446
House of Commons Benches 10" Rimmed Plate,?40.00,32445
House of Commons Paper Serviettes,?5.00,32318
Lion Tile China Mug,?15.00,32557
House of Commons Glass Decanter,?100.00,20735
Elizabeth Tower 'Big Ben' Bone China Ornament,?70.00,32504
King Charles III Coronation Large Fine Bone China Bowl,?200.00,130814
Limited Edition Emmeline Pankhurst Toby Jug,?80.00,32541
Liz Truss Prime Minister Toby Jug,?32.00,32540
King Charles III Coronation Royal Scot Crystal Loving Cup,?150.00,32523
King Charles III Coronation Fine Bone China Coupe Plate,?50.00,32510
King Charles III Coronation Tea Towel,?10.00,32514
House of Commons Benches Cream Jug,?45.00,32457
King Charles III Coronation Mug,?25.00,32513
House of Commons Benches Sugar Bowl,?40.00,32456
Votes for Women Travel Mug,?18.00,32614
Deeds Not Words Pin Badge,?5.00,32613
Votes for Women Rosette Magnet,?5.00,32612
Votes for Women Apron,?30.00,32620
Votes for Women Charm Keyring,?7.00,32611
Suffragette Wooden Decoration,?8.00,32610
House of Commons Benches Dinner Service for 4,?500.00,51177
London Playing Cards,?6.00,32577
London Sandwich Tray,?12.00,32576
London Mug,?10.00,32575
King Charles III Commemorative Illustration Mug,?15.00,32566
Strength & Safety Portcullis Mug,?15.00,32558
London Enamel Snow Globe Decoration,?20.00,32571
Limited Edition House of Commons Christmas Bauble,?15.00,32652
Limited Edition House of Commons Tankard Mug,?25.00,32651
London Wooden Music Box,?80.00,32711
Christmas Nutcracker Tote Bag,?20.00,32663
Portcullis Slate Cheeseboard and Knife,?45.00,32687
House of Commons Christmas Nutcracker Tea Towel,?12.00,32662
Lion Tile Fabric Place Mats,?18.00,32721
House of Commons Serving Tray,?30.00,32717
House of Commons Sandwich Tray,?18.00,32716
Votes for Women Accessories Bag,?15.00,32623
Votes for Women Tea Towel,?10.00,32621
House of Lords Crystal Tumblers,?125.00,130846
House of Lords Peers Entrance Christmas Tea Towel,?10.00,130856
House of Lords Limited Edition Christmas Tea Towel,?10.00,130838
Portcullis Cracker 3D Decoration,?12.00,32583
Number 10 Glass Door Decoration,?50.00,32699
Big Ben Glass Decoration,?30.00,32698
Telephone Box Decoration,?20.00,32724
London 5-Piece Decoration Set,?85.00,32649
London Bus Embroidered Tree Decoration,?20.00,32723
Portcullis Ball and Tassel Decoration,?22.00,32697
House of Commons Green Lion Tin Decoration,?10.00,32570
